neck_angle,spine_angle,shoulder_tilt,label
1.35,2.2,4.32,correct
0.1,2.04,4.46,correct
0.15,1.57,2.67,correct
0.01,1.96,3.08,correct
0.06,1.91,2.98,correct
0.67,1.88,3.85,correct
0.81,1.66,4.85,correct
0.74,1.37,5.34,correct
0.67,1.51,5.27,correct
13.08,1.34,5.44,correct
15.55,0.73,7.04,correct
4.53,0.92,7.12,correct
2.47,1.15,6.56,correct
1.98,1.37,6.44,correct
2.18,1.74,5.85,correct
2.3,1.8,5.92,correct
2.63,1.63,6.97,correct
2.28,1.66,7.19,correct
2.56,1.83,6.87,correct
2.95,1.68,6.9,correct
2.85,1.56,6.77,correct
3.18,1.58,6.7,correct
3.49,1.54,6.93,correct
3.48,1.35,7.16,correct
3.45,0.53,6.33,correct
7.72,0.4,6.38,correct
7.36,0.33,6.19,correct
5.22,0.38,7.2,correct
3.3,0.77,8.78,correct
3.62,1.33,8.75,correct
3.34,1.09,6.16,correct
3.53,0.82,7.15,correct
3.42,0.81,9.49,correct
2.65,0.8,8.42,correct
2.35,0.69,7.61,correct
1.97,0.67,7.65,correct
2.19,0.74,8.41,correct
2.06,0.6,7.56,correct
2.49,0.83,5.58,correct
2.21,0.84,5.37,correct
2.58,0.58,5.38,correct
2.73,0.66,6.65,correct
2.01,0.64,7.59,correct
2.87,0.52,9.18,correct
3.48,0.53,8.82,correct
3.37,0.61,7.09,correct
2.43,0.64,5.7,correct
2.65,0.29,5.5,correct
2.57,0.2,6.04,correct
1.72,0.34,6.23,correct
1.09,0.42,6.66,correct
1.65,0.51,6.85,correct
2.23,0.54,6.31,correct
2.16,0.61,4.99,correct
2.46,0.49,6.68,correct
2.63,0.8,6.55,correct
2.87,1.45,8.09,correct
3.41,1.17,7.83,correct
2.99,1.19,5.71,correct
4.61,1.06,5.61,correct
1.11,0.87,6.27,correct
1.49,0.67,7.5,correct
4.66,0.74,9.05,correct
4.21,0.99,10.85,correct
1.32,1.23,8.94,correct
0.01,1.04,6.93,correct
0.79,1.08,6.6,correct
0.69,1.28,6.4,correct
1.28,1.22,6.81,correct
2.25,1.48,8.93,correct
1.73,1.52,6.92,correct
0.89,1.66,6.77,correct
0.44,1.43,8.17,correct
1.57,1.92,5.01,correct
1.9,2.35,1.51,correct
2.22,2.82,1.54,correct
2.71,2.57,0.28,correct
2.89,2.14,1.78,correct
0.97,1.73,3.25,correct
1.85,1.25,7.48,correct
2.08,1.28,8.88,correct
2.27,1.33,8.12,correct
1.99,2.0,3.36,correct
1.47,1.69,1.81,correct
2.22,1.72,0.12,correct
1.86,1.87,3.15,correct
1.87,2.05,2.32,correct
2.12,1.96,2.59,correct
1.76,2.02,2.6,correct
0.41,1.86,0.77,correct
1.94,1.59,2.69,correct
1.82,1.34,5.28,correct
0.99,1.25,6.04,correct
3.47,1.52,5.41,correct
2.44,2.09,1.9,correct
2.63,2.23,0.77,correct
0.84,2.33,0.47,correct
0.08,2.41,0.14,correct
1.55,2.65,0.08,correct
1.27,2.43,0.47,correct
1.27,2.08,0.41,correct
0.9,1.87,0.41,correct
0.61,1.64,1.28,correct
1.21,1.68,1.56,correct
1.78,1.94,0.64,correct
2.91,2.16,0.33,correct
3.23,2.24,0.42,correct
3.67,2.26,1.0,correct
2.65,1.66,0.8,correct
1.66,1.55,0.12,correct
0.69,1.57,0.15,correct
0.5,1.61,1.71,correct
0.34,1.45,3.24,correct
1.03,1.73,2.34,correct
1.24,1.8,2.17,correct
3.54,1.74,3.16,correct
4.5,2.24,2.22,correct
0.23,2.33,3.79,correct
1.9,2.31,3.71,correct
1.28,1.97,3.73,correct
1.09,1.59,4.83,correct
1.27,1.67,3.69,correct
1.62,1.64,2.03,correct
1.43,2.04,1.36,correct
1.84,2.65,0.69,correct
1.86,2.76,1.07,correct
2.25,2.85,1.44,correct
2.34,2.71,2.03,correct
2.45,2.93,1.86,correct
3.54,2.74,3.24,correct
3.65,3.03,2.66,correct
4.66,3.16,2.49,correct
4.53,2.75,2.97,correct
2.87,2.28,2.69,correct
1.3,1.66,0.19,correct
1.32,1.59,0.91,correct
1.85,1.63,0.08,correct
2.28,1.91,0.97,correct
2.26,1.63,0.74,correct
2.09,1.57,2.35,correct
1.17,1.83,2.93,correct
1.52,1.88,2.56,correct
1.73,1.94,3.36,correct
2.63,1.97,2.28,correct
2.48,1.74,2.0,correct
2.1,1.61,1.13,correct
1.24,1.52,1.57,correct
0.66,1.31,1.89,correct
0.03,1.21,2.43,correct
0.54,1.21,2.67,correct
0.61,1.23,3.54,correct
0.59,1.06,3.56,correct
0.03,1.46,3.26,correct
0.14,1.79,2.84,correct
0.39,1.99,2.02,correct
1.13,2.02,2.61,correct
0.98,2.0,1.78,correct
1.75,2.26,1.02,correct
0.94,2.07,2.78,correct
0.75,2.05,3.36,correct
0.11,1.73,3.03,correct
0.52,1.24,1.54,correct
0.94,1.28,0.76,correct
0.8,1.11,0.26,correct
0.83,0.94,0.2,correct
0.9,1.31,0.45,correct
1.09,1.94,0.11,correct
1.33,2.52,0.51,correct
0.7,2.43,0.43,correct
0.94,2.62,0.56,correct
0.93,2.88,0.59,correct
1.58,2.78,0.31,correct
1.62,2.85,0.75,correct
0.56,3.18,0.78,correct
0.72,3.33,0.55,correct
0.15,2.95,1.88,correct
0.64,2.75,1.83,correct
0.06,2.87,1.52,correct
0.85,3.1,0.82,correct
3.12,3.03,0.42,correct
4.48,2.87,0.07,correct
2.57,2.83,0.89,correct
1.59,2.82,1.24,correct
1.43,2.76,0.98,correct
1.86,3.05,0.12,correct
1.38,2.99,0.22,correct
1.58,2.81,0.87,correct
1.15,2.86,1.16,correct
0.66,2.83,1.02,correct
2.02,2.9,0.72,correct
1.77,2.87,0.24,correct
0.16,3.15,0.87,correct
1.49,3.18,1.39,correct
1.04,3.17,1.61,correct
0.44,3.03,0.29,correct
1.02,2.91,0.69,correct
1.68,2.74,0.58,correct
1.75,2.41,0.78,correct
1.16,2.37,0.59,correct
0.44,2.17,0.02,correct
0.79,2.28,1.2,correct
1.82,2.35,1.14,correct
1.52,2.43,1.0,correct
0.48,2.23,0.08,correct
0.18,2.15,0.42,correct
0.44,2.34,0.3,correct
1.75,2.82,0.98,correct
7.29,2.78,0.38,correct
2.4,3.06,2.38,correct
0.81,3.0,4.17,correct
0.63,2.86,2.96,correct
0.8,3.07,1.03,correct
4.36,0.95,1.79,slouching
5.29,1.03,1.23,slouching
3.67,0.72,2.35,slouching
6.81,2.95,5.72,slouching
6.28,3.49,6.88,slouching
8.57,2.95,8.27,slouching
10.53,3.47,4.39,slouching
8.57,2.41,3.6,slouching
8.16,2.8,5.01,slouching
3.93,1.47,4.95,slouching
3.93,1.68,6.39,slouching
4.39,1.7,9.2,slouching
4.88,4.38,13.05,slouching
3.58,5.59,14.89,slouching
5.58,5.37,8.76,slouching
10.08,4.55,4.86,slouching
11.75,3.78,0.14,slouching
13.88,3.97,0.31,slouching
15.27,4.79,2.09,slouching
14.45,4.82,2.56,slouching
10.41,4.0,2.78,slouching
10.99,3.76,2.14,slouching
9.25,3.2,2.67,slouching
10.37,3.48,2.9,slouching
11.79,3.88,2.73,slouching
10.74,3.71,5.72,slouching
10.26,3.79,9.29,slouching
12.53,3.98,9.4,slouching
15.45,4.58,10.36,slouching
14.33,4.18,10.53,slouching
11.53,3.88,10.21,slouching
9.96,3.42,11.87,slouching
10.11,3.73,16.72,slouching
10.58,4.68,14.91,slouching
8.04,4.67,17.59,slouching
8.79,3.9,14.37,slouching
7.07,3.78,15.05,slouching
5.44,4.15,18.17,slouching
6.7,4.57,15.23,slouching
6.45,4.34,15.22,slouching
6.31,4.17,13.8,slouching
8.58,4.62,11.3,slouching
8.97,4.92,8.75,slouching
8.91,5.36,10.79,slouching
9.02,5.42,12.17,slouching
9.04,5.05,12.16,slouching
8.94,4.92,11.85,slouching
9.64,4.65,10.25,slouching
10.82,4.64,10.22,slouching
12.35,5.26,9.33,slouching
9.73,5.19,9.74,slouching
8.62,4.9,10.05,slouching
7.92,4.18,9.05,slouching
8.79,4.41,6.46,slouching
8.64,5.06,6.92,slouching
8.72,5.05,7.12,slouching
8.29,5.19,7.2,slouching
8.58,5.2,8.46,slouching
8.3,5.18,7.9,slouching
8.14,4.92,7.33,slouching
8.23,4.95,6.73,slouching
6.31,5.15,7.01,slouching
5.88,5.1,7.05,slouching
5.69,4.92,8.68,slouching
6.19,5.21,10.78,slouching
7.87,5.29,11.46,slouching
6.63,4.51,9.66,slouching
4.62,4.71,9.73,slouching
4.15,4.71,10.02,slouching
3.73,5.03,10.26,slouching
4.58,5.3,9.55,slouching
5.76,5.67,9.64,slouching
5.77,5.62,9.09,slouching
5.64,5.41,9.44,slouching
6.84,5.25,9.24,slouching
7.55,5.0,8.62,slouching
7.77,4.56,8.49,slouching
8.16,4.48,8.38,slouching
9.36,4.79,9.5,slouching
8.44,4.95,10.99,slouching
9.11,4.93,10.74,slouching
9.62,5.32,9.92,slouching
9.52,5.28,9.7,slouching
9.93,5.47,8.97,slouching
9.89,5.35,8.57,slouching
9.29,5.42,9.21,slouching
9.69,5.66,10.43,slouching
9.88,5.64,9.76,slouching
9.48,5.31,9.43,slouching
7.36,4.83,9.32,slouching
6.08,4.56,8.84,slouching
6.08,4.22,8.77,slouching
5.73,3.72,7.12,slouching
6.42,3.96,6.27,slouching
6.37,4.05,6.16,slouching
6.53,4.09,6.31,slouching
5.43,4.0,6.64,slouching
3.92,3.83,6.3,slouching
3.76,4.05,6.33,slouching
3.36,4.06,6.9,slouching
2.48,4.25,7.13,slouching
2.35,3.84,8.25,slouching
2.31,4.3,14.63,slouching
2.44,4.45,14.44,slouching
3.5,4.63,14.82,slouching
1.2,3.9,11.66,slouching
4.49,3.77,9.68,slouching
2.6,3.57,9.96,slouching
1.5,3.59,9.68,slouching
3.79,3.38,9.98,slouching
4.7,3.21,10.16,slouching
6.33,3.48,11.71,slouching
5.39,3.73,4.88,slouching
0.74,3.98,4.28,slouching
0.53,3.47,4.32,slouching
0.15,3.6,3.83,slouching
1.13,3.66,3.77,slouching
1.16,3.75,4.18,slouching
0.38,3.66,3.34,slouching
2.11,3.45,4.36,slouching
1.87,3.5,3.15,slouching
1.7,2.69,1.08,slouching
3.08,2.45,0.26,slouching
1.91,2.96,0.7,slouching
0.54,3.17,0.04,slouching
0.88,3.62,3.03,slouching
0.71,3.66,0.41,slouching
0.97,3.48,2.68,slouching
4.13,3.91,2.55,slouching
4.75,3.66,0.07,slouching
5.44,3.89,4.12,slouching
4.81,3.7,4.18,slouching
1.91,3.29,3.06,slouching
2.72,3.35,1.72,slouching
6.14,3.41,3.51,slouching
6.39,3.98,6.93,slouching
4.61,3.87,5.89,slouching
3.16,3.61,0.28,slouching
4.09,3.53,4.84,slouching
2.61,3.14,3.96,slouching
2.28,3.36,3.41,slouching
2.91,3.26,4.04,slouching
3.19,3.18,1.11,slouching
3.18,3.23,3.54,slouching
2.97,3.36,6.13,slouching
3.34,3.19,5.53,slouching
2.7,3.1,4.78,slouching
2.38,2.73,1.57,slouching
4.15,3.34,3.52,slouching
5.25,3.14,0.63,slouching
