neck_angle,spine_angle,shoulder_tilt,label
5.3,1.41,13.41,correct
5.13,1.44,13.62,correct
6.69,1.37,23.74,correct
7.41,1.65,23.68,correct
0.61,1.22,9.22,correct
3.84,1.29,3.77,correct
2.28,1.46,2.52,correct
1.56,1.02,1.15,correct
0.56,1.06,1.61,correct
0.05,1.02,3.09,correct
0.1,0.95,4.07,correct
0.53,1.11,3.47,correct
0.98,0.89,3.22,correct
0.58,0.93,3.16,correct
0.57,1.01,3.51,correct
1.64,0.78,2.62,correct
8.79,1.27,8.94,correct
9.36,1.91,12.69,correct
9.05,2.15,12.82,correct
9.57,2.11,11.17,correct
8.18,2.67,11.42,correct
7.98,3.1,12.52,correct
5.53,3.46,11.19,correct
3.29,3.4,7.83,correct
2.77,3.31,6.14,correct
3.4,2.94,5.6,correct
3.81,2.98,6.64,correct
3.91,3.13,7.78,correct
4.71,2.94,8.32,correct
4.3,2.72,7.79,correct
3.92,2.47,5.83,correct
0.5,2.16,2.84,correct
5.03,1.83,3.19,correct
6.05,1.8,9.75,correct
3.19,2.03,2.44,correct
8.94,2.08,12.97,correct
5.12,2.93,8.59,correct
9.03,5.95,4.33,correct
11.34,4.94,21.87,correct
9.85,2.06,20.27,correct
5.01,1.53,8.43,correct
3.82,3.43,2.45,correct
3.08,3.26,1.09,correct
1.27,2.06,0.7,correct
0.48,2.02,2.0,correct
0.21,2.0,1.86,correct
2.04,1.73,1.2,correct
1.78,1.31,0.64,correct
1.03,1.71,1.59,correct
0.88,1.71,0.93,correct
1.31,1.71,0.87,correct
1.69,1.65,0.53,correct
2.14,1.69,0.58,correct
3.0,1.68,1.4,correct
2.04,1.56,1.5,correct
2.11,1.34,1.18,correct
1.46,1.32,0.81,correct
0.44,1.63,0.66,correct
0.18,2.21,1.11,correct
0.26,2.4,1.63,correct
1.53,2.43,1.94,correct
2.21,2.17,1.68,correct
2.43,1.82,1.76,correct
3.41,1.78,1.92,correct
19.69,2.45,3.43,correct
23.42,2.07,3.45,correct
4.05,1.47,1.62,correct
1.43,0.59,5.18,correct
1.51,0.33,7.89,correct
1.93,0.83,6.61,correct
2.18,1.2,2.23,correct
1.13,1.07,3.33,correct
0.57,1.09,2.29,correct
0.89,1.47,2.44,correct
0.71,1.49,2.9,correct
1.41,1.15,3.45,correct
1.55,1.37,4.34,correct
0.86,1.64,4.01,correct
1.88,1.82,3.78,correct
2.16,1.5,6.61,correct
2.99,1.84,8.9,correct
2.82,1.93,3.94,correct
3.41,2.3,4.4,correct
4.79,2.17,7.79,correct
4.91,1.69,8.61,correct
4.11,1.32,10.07,correct
4.74,1.35,9.06,correct
2.09,1.43,4.76,correct
1.85,1.52,0.65,correct
2.07,1.1,1.93,correct
0.45,0.9,4.37,correct
0.43,0.96,2.54,correct
0.99,0.01,4.25,correct
2.08,0.1,3.84,correct
4.85,0.19,0.61,correct
5.07,0.22,3.48,correct
5.03,0.54,3.08,correct
8.09,0.62,11.16,correct
11.89,0.35,18.8,correct
10.83,0.73,14.27,correct
5.44,0.54,7.18,correct
4.54,0.61,5.34,correct
4.53,0.66,5.84,correct
4.04,1.43,9.06,correct
3.13,1.58,5.32,correct
1.94,1.48,0.58,correct
1.37,1.86,1.04,correct
1.08,1.8,1.67,correct
0.86,1.8,1.44,correct
0.82,1.61,0.93,correct
0.21,0.4,4.92,correct
0.05,0.7,5.99,correct
0.13,0.85,6.18,correct
0.14,0.44,6.04,correct
0.67,0.32,7.05,correct
0.94,0.37,6.61,correct
1.19,0.71,5.6,correct
1.24,0.86,5.6,correct
6.24,1.37,6.43,correct
6.47,2.89,9.97,correct
3.89,2.44,8.41,correct
3.04,2.43,7.0,correct
1.34,0.33,3.78,correct
5.85,0.21,3.53,correct
19.01,0.2,4.19,correct
12.78,0.51,4.83,correct
1.22,1.28,2.62,correct
1.36,1.84,0.75,correct
2.0,1.5,0.36,correct
2.02,1.34,1.38,correct
2.51,1.23,1.54,correct
3.0,1.09,1.2,correct
2.72,1.04,0.93,correct
0.61,0.62,1.76,correct
0.93,0.67,4.55,correct
1.26,0.8,5.54,correct
0.8,1.02,6.93,correct
0.6,0.94,8.49,correct
0.11,0.41,4.82,correct
1.7,0.2,0.0,correct
2.29,0.03,0.98,correct
2.84,0.11,0.45,correct
4.6,0.01,1.04,correct
5.33,0.22,0.52,correct
5.1,0.62,1.95,correct
5.6,0.76,3.5,correct
5.67,0.69,3.41,correct
5.64,0.48,1.5,correct
4.82,0.55,4.77,correct
4.63,0.8,6.73,correct
4.5,0.62,5.28,correct
4.33,0.66,5.2,correct
4.18,0.9,5.43,correct
3.98,1.01,4.17,correct
3.71,1.31,3.77,correct
3.4,1.43,4.22,correct
3.03,1.81,6.35,correct
2.33,1.85,4.43,correct
1.43,1.64,1.79,correct
17.41,2.5,1.76,correct
18.76,1.81,2.57,correct
18.13,1.58,2.54,correct
19.63,0.54,0.66,correct
20.92,0.62,0.54,correct
20.97,0.88,0.67,correct
21.28,1.35,0.05,correct
16.31,1.09,0.95,correct
15.31,1.32,0.92,correct
2.8,1.3,0.47,correct
1.61,1.24,0.09,correct
1.98,1.02,0.83,correct
1.86,0.89,1.4,correct
19.19,0.83,0.37,correct
21.76,1.33,1.05,correct
21.81,2.37,4.8,correct
20.92,2.56,7.21,correct
21.42,1.87,3.86,correct
20.59,1.64,0.5,correct
2.6,1.82,5.68,correct
3.5,1.86,4.95,correct
2.07,1.84,3.08,correct
1.55,0.24,0.29,correct
0.48,0.25,0.87,correct
0.65,0.99,2.05,correct
