neck_angle,spine_angle,shoulder_tilt,label
3.02,0.48,8.04,correct
2.07,0.23,0.18,correct
2.88,1.58,7.95,correct
1.89,1.12,0.73,correct
4.05,1.2,1.08,correct
5.78,0.19,10.82,correct
6.57,0.54,1.7,correct
7.7,0.01,0.43,correct
6.62,0.13,0.63,correct
5.91,0.24,1.34,correct
2.62,0.2,1.05,correct
2.28,1.66,1.81,correct
0.84,0.87,1.73,correct
2.98,1.01,5.64,correct
3.29,0.86,1.0,correct
3.25,1.39,2.35,correct
2.94,0.6,3.3,correct
5.25,1.07,0.17,correct
5.95,1.41,0.45,correct
8.33,0.69,1.76,correct
11.15,0.45,3.27,correct
18.93,4.39,16.47,correct
21.49,6.12,21.86,correct
25.73,6.51,21.8,correct
26.58,5.39,20.23,correct
23.23,3.26,17.4,correct
15.36,1.58,10.39,correct
11.59,0.61,7.27,correct
11.86,0.11,1.3,correct
10.25,0.53,0.77,correct
10.55,0.55,0.6,correct
10.63,0.74,1.22,correct
9.79,1.07,1.72,correct
8.06,1.28,1.79,correct
8.65,1.38,2.19,correct
8.45,1.54,2.8,correct
8.92,1.42,0.11,correct
8.65,1.28,0.56,correct
8.94,1.27,0.08,correct
8.51,1.3,0.97,correct
8.65,1.13,1.25,correct
8.58,0.92,2.51,correct
7.42,1.03,0.97,correct
7.2,1.05,7.36,correct
6.17,1.41,1.77,correct
7.31,1.2,3.1,correct
6.99,0.2,1.89,correct
6.98,0.18,1.69,correct
7.45,0.8,6.62,correct
8.4,1.79,7.66,correct
7.97,1.48,6.45,correct
7.09,1.58,6.78,correct
6.26,1.38,7.15,correct
5.84,1.64,7.74,correct
5.36,1.73,8.13,correct
5.74,1.25,10.36,correct
6.01,0.95,9.87,correct
5.74,1.2,11.45,correct
3.63,1.74,12.66,correct
0.21,3.17,8.92,correct
2.62,3.15,9.79,correct
3.17,2.65,11.42,correct
2.89,2.16,12.35,correct
3.37,1.41,10.82,correct
3.8,0.92,9.26,correct
2.83,1.12,9.29,correct
3.26,0.97,7.06,correct
3.56,1.18,6.95,correct
3.59,1.15,6.94,correct
3.5,1.02,7.17,correct
3.93,1.05,7.56,correct
4.02,1.6,8.08,correct
3.7,1.4,6.76,correct
3.57,1.17,5.9,correct
3.37,0.83,6.36,correct
3.18,0.95,6.14,correct
3.55,0.8,6.5,correct
3.95,0.84,6.74,correct
4.03,0.87,7.62,correct
4.07,0.94,7.89,correct
3.93,0.48,7.52,correct
6.33,1.12,10.21,correct
5.97,2.31,14.0,correct
6.73,2.13,12.99,correct
7.21,1.9,10.86,correct
6.98,2.24,8.62,correct
6.48,1.95,7.28,correct
6.36,1.97,7.46,correct
6.11,1.9,8.29,correct
6.12,2.27,9.07,correct
6.04,2.22,8.58,correct
7.09,0.89,7.34,correct
6.46,0.77,8.63,correct
5.94,1.24,9.04,correct
6.03,0.45,7.55,correct
5.4,0.11,4.99,correct
7.59,0.2,2.22,correct
6.7,0.91,5.41,correct
6.03,0.92,2.04,correct
6.49,1.04,1.77,correct
6.79,2.25,4.61,correct
7.95,2.67,6.43,correct
7.46,0.01,4.15,correct
7.44,0.44,1.73,correct
5.43,0.6,6.22,correct
4.88,0.59,6.83,correct
4.96,0.61,8.51,correct
5.21,1.07,8.79,correct
5.29,1.37,7.87,correct
5.45,1.23,7.67,correct
6.37,1.68,14.35,correct
7.04,2.33,18.26,correct
6.85,2.05,17.67,correct
2.66,0.54,1.07,correct
1.8,0.09,0.08,correct
1.02,1.08,12.87,correct
2.21,0.45,7.26,correct
0.91,1.94,4.87,correct
0.05,0.85,0.74,correct
0.84,2.28,7.87,correct
1.11,1.54,4.9,correct
3.98,0.45,3.21,correct
2.98,0.48,4.89,correct
3.08,0.87,4.92,correct
3.51,1.27,4.15,correct
4.07,0.7,3.51,correct
4.33,0.65,3.02,correct
2.29,0.24,3.06,correct
1.92,0.19,2.62,correct
3.14,0.38,1.26,correct
5.04,0.9,8.19,correct
8.64,1.2,8.97,correct
6.87,1.73,11.24,correct
6.83,1.82,11.88,correct
7.16,2.07,10.82,correct
6.76,2.25,8.55,correct
6.09,2.32,8.06,correct
5.97,1.54,5.59,correct
5.76,1.39,5.4,correct
5.63,1.55,5.46,correct
5.99,1.5,6.16,correct
5.94,1.3,5.63,correct
6.12,1.39,6.18,correct
7.65,1.59,8.44,correct
8.32,1.86,9.08,correct
8.55,1.77,9.06,correct
9.35,1.4,12.81,correct
9.46,2.13,10.2,correct
11.78,1.51,14.03,correct
10.44,2.07,12.98,correct
9.79,1.69,9.89,correct
9.59,1.5,9.67,correct
12.49,1.43,8.99,correct
13.29,2.01,9.2,correct
11.19,1.97,7.74,correct
4.09,0.34,6.42,correct
1.27,0.26,6.12,correct
1.82,1.46,6.17,correct
0.08,0.4,5.92,correct
0.12,0.88,4.68,correct
2.16,1.17,4.42,correct
6.47,0.25,8.15,correct
3.22,0.5,5.59,correct
4.05,0.6,6.97,correct
3.66,2.26,11.35,correct
4.5,1.0,9.49,correct
5.17,1.12,6.94,correct
6.04,1.2,6.62,correct
6.22,1.0,6.12,correct
9.37,0.74,4.19,correct
9.24,0.68,4.16,correct
10.09,0.76,4.2,correct
10.14,0.56,2.86,correct
9.9,0.62,2.66,correct
9.29,0.84,2.88,correct
9.37,0.66,2.7,correct
15.24,0.03,0.08,correct
8.95,0.06,2.28,correct
1.65,0.13,2.34,correct
1.27,0.1,4.64,correct
8.34,0.45,11.5,correct
9.89,0.27,13.1,correct
5.39,1.43,10.92,correct
1.46,0.29,5.43,correct
3.67,1.76,0.93,correct
5.47,0.81,0.06,correct
7.75,0.26,3.22,correct
5.31,1.06,4.22,correct
3.8,0.98,3.66,correct
4.29,0.69,2.46,correct
5.86,0.66,0.13,correct
4.62,1.9,7.71,correct
3.38,1.62,2.23,correct
3.69,1.14,1.08,correct
3.74,0.91,0.41,correct
4.19,0.69,0.72,correct
6.78,1.45,1.9,correct
5.68,1.19,1.1,correct
5.37,1.24,0.81,correct
5.3,0.75,0.91,correct
5.2,0.43,0.69,correct
5.01,0.53,0.69,correct
5.06,0.41,0.64,correct
5.1,0.17,0.75,correct
4.95,0.06,0.86,correct
5.04,0.16,1.49,correct
4.79,0.09,0.92,correct
4.88,0.09,1.33,correct
4.84,0.07,1.28,correct
4.99,0.13,1.28,correct
5.2,0.22,1.6,correct
5.38,0.37,2.07,correct
5.59,0.58,2.63,correct
5.75,0.21,1.14,correct
5.98,0.32,1.35,correct
6.14,0.35,1.41,correct
6.24,0.35,1.02,correct
6.08,0.01,0.08,correct
6.19,0.02,0.16,correct
6.08,0.02,0.12,correct
6.02,0.05,0.5,correct
5.93,0.08,0.07,correct
6.01,0.04,0.28,correct
5.82,0.23,0.31,correct
5.88,0.27,0.06,correct
5.84,0.22,0.57,correct
5.98,0.16,0.62,correct
5.89,0.29,0.46,correct
6.19,0.03,0.74,correct
5.75,0.44,0.13,correct
5.46,0.84,0.87,correct
4.97,1.83,3.68,correct
3.36,0.06,1.04,correct
3.79,0.23,0.3,correct
4.23,0.02,0.18,correct
4.83,0.06,0.35,correct
5.1,0.27,0.03,correct
5.43,0.1,1.0,correct
5.24,0.02,1.1,correct
5.31,0.26,1.43,correct
4.58,0.07,0.08,correct
4.76,0.1,0.18,correct
4.99,0.12,0.38,correct
5.1,0.64,0.98,correct
1.08,1.12,0.22,correct
2.58,0.56,0.65,correct
1.33,0.08,2.21,correct
0.22,0.18,3.5,correct
0.43,0.14,4.08,correct
0.43,0.01,4.41,correct
0.25,0.31,4.34,correct
1.25,0.2,2.6,correct
2.97,0.41,2.76,correct
2.52,0.58,3.86,correct
1.94,0.52,6.13,correct
1.99,0.1,4.3,correct
3.08,0.01,3.59,correct
3.31,0.38,2.78,correct
3.24,0.79,2.86,correct
3.01,0.89,2.89,correct
3.4,0.03,1.91,correct
3.65,0.14,2.33,correct
3.92,0.02,1.55,correct
3.9,0.15,0.04,correct
3.75,0.68,0.33,correct
3.75,0.69,0.99,correct
4.0,1.1,0.73,correct
4.19,1.19,0.17,correct
4.32,0.76,0.19,correct
4.36,0.09,1.05,correct
4.36,0.31,1.11,correct
4.27,0.05,1.02,correct
4.09,0.01,0.89,correct
3.39,0.16,2.02,correct
2.88,0.1,1.9,correct
2.73,0.48,2.66,correct
2.68,0.9,3.55,correct
2.66,0.65,4.21,correct
2.63,0.91,4.37,correct
3.55,0.74,4.33,correct
3.64,0.65,4.51,correct
3.48,0.55,4.66,correct
3.28,0.49,4.33,correct
3.38,0.36,3.96,correct
3.27,0.45,4.59,correct
3.39,0.44,4.27,correct
3.71,0.42,3.92,correct
3.98,0.35,3.69,correct
4.09,0.2,3.55,correct
4.06,0.15,2.91,correct
3.94,0.15,2.64,correct
4.1,0.37,2.21,correct
4.01,0.48,2.03,correct
4.26,0.57,1.61,correct
4.44,0.7,1.36,correct
4.69,0.69,0.74,correct
4.91,0.79,0.8,correct
4.83,0.97,0.48,correct
4.85,0.88,0.76,correct
5.06,0.74,0.68,correct
4.98,0.61,0.83,correct
4.97,0.49,0.64,correct
4.39,0.07,2.37,correct
3.97,0.35,3.38,correct
3.57,0.98,3.45,correct
2.01,0.58,7.68,correct
2.35,1.13,6.17,correct
2.58,0.36,3.55,correct
3.95,1.24,1.79,correct
4.25,1.42,1.29,correct
4.21,1.03,1.59,correct
5.17,1.33,0.6,correct
5.06,0.45,3.32,correct
6.29,1.26,8.73,correct
4.97,0.9,2.4,correct
5.34,1.08,2.81,correct
4.02,0.39,0.43,correct
4.55,0.32,6.2,correct
4.03,0.88,7.11,correct
3.26,0.79,8.52,correct
5.66,0.32,5.5,correct
6.57,1.59,0.62,correct
6.4,1.88,2.77,correct
6.35,2.42,2.91,correct
1.01,1.01,5.21,correct
2.66,0.84,2.3,correct
4.96,0.89,1.12,correct
6.7,1.33,0.45,correct
6.7,2.1,3.36,correct
6.4,1.87,1.7,correct
9.36,0.84,4.67,correct
3.18,0.82,3.01,correct
1.62,0.59,8.16,correct
6.85,0.78,2.38,correct
7.7,0.2,0.41,correct
4.66,1.07,11.29,correct
7.63,1.11,8.68,correct
5.72,1.93,6.46,correct
7.46,1.55,1.96,correct
6.21,0.2,0.39,correct
7.75,0.45,3.1,correct
8.86,1.27,8.01,correct
7.64,1.34,10.0,correct
9.89,0.82,8.92,correct
14.94,0.73,6.89,correct
16.08,0.49,3.05,correct
13.72,0.76,1.41,correct
13.01,1.56,3.1,correct
11.25,1.41,2.72,correct
11.07,1.49,2.18,correct
10.88,1.51,2.07,correct
11.38,1.33,1.13,correct
10.83,1.25,0.94,correct
