neck_angle,spine_angle,shoulder_tilt,label
4.18,0.39,4.35,correct
3.18,0.02,4.79,correct
3.11,0.1,2.25,correct
1.66,0.14,0.84,correct
1.51,0.01,2.38,correct
1.39,0.28,4.48,correct
2.04,2.11,6.4,correct
2.1,2.88,8.32,correct
2.2,2.49,7.87,correct
2.54,2.48,7.15,correct
2.45,2.1,6.99,correct
1.44,1.84,8.28,correct
1.3,1.97,9.43,correct
1.26,2.08,4.09,correct
1.19,1.57,1.56,correct
1.57,1.94,1.39,correct
0.8,1.84,4.16,correct
0.3,1.9,7.32,correct
0.02,2.54,5.71,correct
1.01,3.66,4.96,correct
2.49,3.46,5.85,correct
8.79,3.18,5.58,correct
0.02,3.25,6.97,correct
1.24,3.12,5.97,correct
1.94,3.04,5.02,correct
2.25,2.84,5.59,correct
2.7,2.75,6.82,correct
2.85,2.69,7.14,correct
2.96,2.72,7.52,correct
3.15,2.77,8.12,correct
3.4,2.68,7.17,correct
3.72,2.55,5.63,correct
3.65,2.42,3.76,correct
3.66,2.44,3.36,correct
3.85,2.51,3.44,correct
3.95,2.45,4.35,correct
4.06,2.69,4.7,correct
4.1,2.91,5.05,correct
4.64,3.3,4.97,correct
4.93,3.19,3.79,correct
10.26,2.82,4.01,correct
8.9,2.83,3.81,correct
3.21,2.24,4.81,correct
4.77,2.23,5.72,correct
2.23,2.14,7.52,correct
9.77,2.93,3.38,correct
10.48,3.11,4.46,correct
10.04,2.95,4.1,correct
10.03,2.95,3.81,correct
9.79,3.47,1.03,correct
9.9,1.87,3.56,correct
7.6,2.34,0.04,correct
7.88,1.82,0.04,correct
5.77,1.42,2.38,correct
5.58,0.89,2.71,correct
6.63,1.13,0.27,correct
4.48,1.08,0.85,correct
3.42,0.86,2.46,correct
4.19,0.97,6.0,correct
4.71,0.99,6.85,correct
0.17,0.97,9.5,correct
10.35,1.61,9.67,correct
12.51,1.58,10.9,correct
3.51,1.15,7.6,correct
2.07,0.64,6.66,correct
2.2,0.85,0.48,correct
3.3,1.59,1.32,correct
5.38,2.11,2.95,correct
5.04,2.09,5.9,correct
4.6,2.15,11.95,correct
4.69,1.9,12.53,correct
4.87,2.03,12.71,correct
4.82,1.99,10.48,correct
4.49,1.76,1.84,correct
4.24,1.66,3.54,correct
4.42,1.86,5.47,correct
4.51,2.02,6.62,correct
4.65,2.03,6.29,correct
4.55,1.88,0.1,correct
4.77,1.65,4.34,correct
4.64,2.0,1.85,correct
4.89,1.85,5.16,correct
4.55,1.87,7.84,correct
4.76,1.83,6.78,correct
5.02,0.63,0.72,correct
7.51,3.58,4.72,correct
6.6,0.08,5.21,correct
4.57,0.37,2.28,correct
3.89,2.24,1.91,correct
4.39,1.17,1.13,correct
4.37,0.97,0.1,correct
4.77,0.48,2.95,correct
5.02,0.64,4.82,correct
5.03,0.32,5.47,correct
5.1,0.05,5.19,correct
5.37,0.58,4.96,correct
6.27,0.79,3.58,correct
6.81,0.77,3.7,correct
7.31,0.48,3.57,correct
7.96,0.21,3.18,correct
7.98,0.25,3.74,correct
7.89,0.03,3.83,correct
7.94,0.27,4.53,correct
7.79,1.82,6.68,correct
6.84,2.95,4.66,correct
6.93,3.03,0.49,correct
6.23,1.99,0.67,correct
6.38,2.12,0.63,correct
7.35,5.12,3.66,correct
6.65,5.45,0.8,correct
6.22,5.43,0.15,correct
6.05,5.47,1.07,correct
5.98,5.28,1.86,correct
5.85,5.11,2.11,correct
5.47,4.82,1.78,correct
4.76,4.77,1.86,correct
4.9,4.89,2.11,correct
6.13,4.74,5.28,correct
6.79,4.84,6.73,correct
7.09,4.81,6.42,correct
7.56,5.2,5.7,correct
7.05,5.33,4.76,correct
7.06,5.41,3.55,correct
7.26,5.5,3.31,correct
7.28,5.4,2.95,correct
7.2,5.27,3.51,correct
6.98,5.18,3.39,correct
7.14,5.05,3.5,correct
6.96,4.89,4.55,correct
7.4,5.16,2.69,correct
3.92,5.9,1.48,correct
3.77,6.93,4.35,correct
4.64,6.65,4.73,correct
9.03,5.7,1.38,correct
10.05,4.72,0.06,correct
9.63,4.31,3.4,correct
8.8,4.31,4.35,correct
8.43,3.18,4.1,correct
8.73,2.76,6.77,correct
8.85,2.93,5.53,correct
6.86,2.25,2.81,correct
4.4,1.94,5.38,correct
4.13,2.2,6.45,correct
4.33,2.13,9.14,correct
4.6,2.28,9.27,correct
4.62,2.53,7.38,correct
4.32,2.59,6.29,correct
4.49,0.94,6.37,correct
4.85,0.83,6.94,correct
4.79,0.96,5.27,correct
4.46,1.13,4.83,correct
4.39,1.96,3.38,correct
3.08,1.43,1.4,correct
2.62,1.46,0.22,correct
3.21,1.94,0.62,correct
3.42,2.24,1.16,correct
3.43,2.34,1.25,correct
3.18,2.33,1.88,correct
1.73,2.48,1.8,correct
1.65,2.39,1.81,correct
1.51,2.23,1.5,correct
0.63,2.48,3.78,correct
5.7,2.95,6.83,correct
8.67,2.79,7.86,correct
8.07,3.01,7.63,correct
7.76,1.42,6.34,correct
5.53,1.55,6.44,correct
5.15,2.39,6.52,correct
4.25,3.81,8.92,correct
3.04,3.7,8.7,correct
1.86,3.86,9.61,correct
1.62,4.02,9.7,correct
1.42,4.35,9.35,correct
1.26,4.63,9.12,correct
1.18,4.79,8.85,correct
1.09,4.9,8.33,correct
1.04,4.61,7.48,correct
0.98,4.7,7.55,correct
0.99,4.84,7.32,correct
1.02,4.88,7.14,correct
1.11,4.95,7.04,correct
1.19,4.84,6.75,correct
1.24,5.06,6.15,correct
1.22,5.07,5.54,correct
1.07,5.19,5.67,correct
