neck_angle,spine_angle,shoulder_tilt,label
2.72,2.58,13.43,correct
3.47,2.7,14.09,correct
3.48,2.93,14.16,correct
3.43,2.66,13.28,correct
3.4,2.66,13.04,correct
3.25,2.79,12.83,correct
2.48,2.6,13.02,correct
2.46,2.7,13.05,correct
2.62,2.49,11.93,correct
2.56,2.47,11.87,correct
2.58,2.54,11.72,correct
2.45,2.58,12.52,correct
2.59,2.58,12.46,correct
2.62,2.44,11.82,correct
2.53,2.3,10.65,correct
2.62,2.31,10.9,correct
2.87,2.61,11.74,correct
3.05,2.83,12.07,correct
2.92,2.62,11.9,correct
2.4,2.41,10.3,correct
2.14,2.35,10.3,correct
2.65,2.6,11.01,correct
3.2,2.71,12.17,correct
3.04,2.29,10.82,correct
2.42,1.85,8.25,correct
0.74,1.1,6.3,correct
1.15,0.91,6.05,correct
1.08,1.08,4.78,correct
1.75,0.92,4.06,correct
2.07,0.8,4.22,correct
2.45,0.81,6.1,correct
2.26,0.97,8.88,correct
2.54,1.19,10.11,correct
2.5,1.26,10.0,correct
2.9,1.06,9.17,correct
3.07,1.11,9.64,correct
3.24,1.21,10.69,correct
3.36,1.12,10.41,correct
3.39,0.91,9.85,correct
3.46,0.43,8.63,correct
3.11,0.36,8.18,correct
3.02,0.42,7.39,correct
2.18,0.36,5.61,correct
1.79,0.33,5.74,correct
2.0,0.7,7.42,correct
2.09,1.35,8.69,correct
2.96,1.37,7.55,correct
2.92,1.23,7.56,correct
2.94,1.04,5.99,correct
2.78,1.08,7.08,correct
3.46,0.64,6.16,correct
4.07,0.88,6.94,correct
3.59,1.45,10.14,correct
3.63,1.43,10.92,correct
4.05,1.24,10.32,correct
3.73,0.76,9.41,correct
3.46,0.84,9.01,correct
3.2,1.03,8.84,correct
2.82,1.03,8.47,correct
2.61,1.12,8.77,correct
2.4,1.41,9.15,correct
2.16,2.0,10.74,correct
0.79,2.45,13.59,correct
0.47,2.42,13.37,correct
0.42,2.22,12.9,correct
1.15,1.94,12.29,correct
2.09,1.49,10.15,correct
2.16,1.55,9.7,correct
2.25,1.52,9.78,correct
2.04,1.78,10.55,correct
1.08,2.15,12.96,correct
0.98,1.91,10.92,correct
0.45,1.8,10.0,correct
0.39,1.82,9.73,correct
0.4,1.84,9.64,correct
0.27,1.69,9.1,correct
0.79,1.64,8.44,correct
1.13,1.86,9.01,correct
2.1,1.36,9.59,correct
1.91,1.28,9.47,correct
0.95,0.99,5.3,correct
0.55,0.83,4.79,correct
0.32,1.38,7.4,correct
1.14,1.27,7.66,correct
1.0,1.41,9.18,correct
2.79,1.16,8.03,correct
3.55,1.31,8.4,correct
4.98,1.08,7.65,correct
7.6,0.87,6.89,correct
10.54,0.58,6.3,correct
12.69,0.78,6.01,correct
16.31,0.95,5.78,correct
17.25,0.76,5.77,correct
15.13,0.68,6.11,correct
9.2,0.87,6.85,correct
3.87,1.13,7.68,correct
2.49,1.1,7.67,correct
1.01,1.22,7.62,correct
0.11,0.99,7.15,correct
0.53,0.67,6.02,correct
0.84,0.58,5.89,correct
0.76,0.41,5.46,correct
0.26,0.48,6.03,correct
0.1,0.64,6.93,correct
0.07,0.67,5.41,correct
0.37,0.62,5.52,correct
0.6,0.53,6.01,correct
0.52,0.49,5.15,correct
0.76,0.46,2.43,correct
0.79,0.48,2.81,correct
0.79,0.7,4.84,correct
1.14,1.0,4.33,correct
1.56,1.96,1.16,correct
1.45,2.48,1.97,correct
2.26,2.04,0.89,correct
2.76,1.91,0.34,correct
2.12,2.15,0.2,correct
1.55,2.61,0.31,correct
1.3,2.53,0.49,correct
1.3,1.58,6.14,correct
0.97,1.17,6.81,correct
0.68,1.06,6.09,correct
0.62,0.86,5.35,correct
1.0,0.82,4.98,correct
2.38,1.21,5.89,correct
2.83,1.3,6.09,correct
1.64,1.19,4.29,correct
0.37,1.05,3.4,correct
1.03,1.03,3.46,correct
1.66,1.06,3.65,correct
1.64,1.11,4.12,correct
1.62,1.19,4.8,correct
1.45,0.99,5.31,correct
1.29,0.96,5.32,correct
1.1,0.76,4.66,correct
1.56,0.6,4.34,correct
