neck_angle,spine_angle,shoulder_tilt,label
1.13,1.68,18.16,correct
0.63,1.86,18.45,correct
0.4,1.8,18.58,correct
3.11,0.71,13.41,correct
0.89,1.21,13.99,correct
0.1,0.96,16.38,correct
0.24,1.2,17.2,correct
0.53,1.44,17.72,correct
0.04,1.84,17.41,correct
0.2,2.2,17.08,correct
0.01,1.69,17.13,correct
0.25,1.34,17.22,correct
0.15,1.09,17.14,correct
1.1,1.46,16.98,correct
0.85,1.44,17.46,correct
0.38,1.32,17.79,correct
0.52,1.34,17.8,correct
0.64,1.05,18.04,correct
0.78,0.96,18.03,correct
0.74,0.84,17.98,correct
1.31,0.88,18.36,correct
1.11,0.34,18.34,correct
1.11,0.25,17.38,correct
1.96,0.5,16.29,correct
2.1,0.07,16.01,correct
2.36,0.29,15.61,correct
1.72,0.41,15.31,correct
0.06,0.62,15.39,correct
1.56,0.42,14.57,correct
1.83,0.19,13.51,correct
2.36,0.25,12.12,correct
2.62,0.18,12.11,correct
2.6,0.25,12.94,correct
2.57,0.1,12.34,correct
1.41,0.01,12.52,correct
0.2,0.04,13.2,correct
0.23,0.01,13.5,correct
0.06,0.16,14.45,correct
0.35,0.34,14.0,correct
0.55,2.02,13.27,correct
2.05,2.47,12.94,correct
2.17,1.31,9.88,correct
5.71,0.4,13.78,correct
5.71,0.33,16.05,correct
2.95,0.35,15.77,correct
2.24,0.43,16.73,correct
1.41,0.25,17.08,correct
1.08,0.01,17.41,correct
1.05,0.04,17.6,correct
0.87,0.31,16.97,correct
0.08,0.18,17.17,correct
1.0,0.29,15.65,correct
2.49,0.43,16.61,correct
9.21,0.75,18.11,correct
6.93,0.77,17.52,correct
9.37,0.01,12.28,correct
11.75,0.01,10.36,correct
13.08,0.06,9.68,correct
13.39,0.2,8.01,correct
13.11,0.53,7.83,correct
12.5,0.54,8.18,correct
10.38,0.14,8.95,correct
9.9,0.42,8.78,correct
9.51,0.59,9.06,correct
9.31,0.66,9.27,correct
9.09,0.76,9.55,correct
9.25,0.56,10.11,correct
9.51,0.84,9.94,correct
9.65,0.92,9.91,correct
9.25,1.02,10.27,correct
9.84,1.21,9.61,correct
9.94,1.23,9.16,correct
