neck_angle,spine_angle,shoulder_tilt,label
22.97,4.54,9.18,correct
23.58,4.58,10.82,correct
24.13,4.62,10.64,correct
23.19,4.55,9.17,correct
22.23,4.62,9.26,correct
21.41,4.72,8.61,correct
22.52,4.91,9.28,correct
20.81,4.74,7.53,correct
13.84,5.06,8.79,correct
9.06,2.72,17.65,correct
4.18,3.1,8.79,correct
4.73,3.74,2.56,correct
4.59,3.72,2.26,correct
4.11,3.47,2.16,correct
3.71,3.42,1.07,correct
4.09,3.5,0.42,correct
4.25,3.6,0.06,correct
4.5,3.7,0.58,correct
4.48,3.78,0.16,correct
4.4,3.7,0.28,correct
4.5,3.66,0.17,correct
4.64,3.74,0.52,correct
4.73,3.51,0.12,correct
4.27,3.17,1.3,correct
4.15,3.07,2.2,correct
3.95,2.69,1.68,correct
3.91,2.53,1.42,correct
3.95,2.33,1.32,correct
3.92,2.08,2.07,correct
3.8,2.4,1.73,correct
3.79,2.26,2.32,correct
3.8,3.19,1.02,correct
3.73,2.74,4.35,correct
7.03,2.32,8.43,correct
12.15,1.94,5.84,correct
10.36,1.73,1.98,correct
9.36,2.09,0.88,correct
9.59,2.21,0.92,correct
3.06,2.36,1.19,correct
0.28,2.22,4.92,correct
0.63,1.8,3.18,correct
6.36,1.78,5.6,correct
5.95,1.49,2.04,correct
4.53,1.84,1.51,correct
4.03,1.8,0.83,correct
3.8,1.93,1.25,correct
4.09,2.33,2.02,correct
3.96,2.4,2.23,correct
16.71,2.59,2.22,correct
15.91,2.38,1.02,correct
14.89,2.92,0.01,correct
11.5,2.53,0.15,correct
9.96,2.63,0.7,correct
10.31,2.71,1.09,correct
9.93,2.59,2.13,correct
8.54,2.45,2.68,correct
6.86,2.75,3.47,correct
5.81,2.7,3.23,correct
5.5,2.27,2.38,correct
1.8,2.08,2.17,correct
4.1,2.0,3.0,correct
4.54,2.08,4.96,correct
0.2,1.92,2.41,correct
2.95,1.92,0.22,correct
3.69,1.99,0.48,correct
3.32,2.1,1.2,correct
3.2,2.14,1.58,correct
3.06,2.09,1.83,correct
3.05,2.1,2.16,correct
3.62,1.3,1.4,correct
3.46,2.46,0.36,correct
3.62,2.67,1.62,correct
3.69,2.39,3.02,correct
3.11,2.28,3.76,correct
2.54,2.18,3.85,correct
2.87,2.18,3.65,correct
3.23,2.18,2.55,correct
3.38,2.28,2.12,correct
3.56,2.33,1.87,correct
3.65,2.33,2.09,correct
3.65,2.19,2.41,correct
3.7,2.2,2.42,correct
3.85,2.24,2.46,correct
4.0,2.27,1.99,correct
4.12,2.29,1.96,correct
4.5,2.59,1.12,correct
4.73,2.85,0.19,correct
5.04,2.81,1.14,correct
5.14,2.96,1.78,correct
5.15,3.01,1.65,correct
5.13,2.99,1.41,correct
5.2,3.06,1.55,correct
5.3,3.18,1.64,correct
4.95,3.16,1.47,correct
5.07,3.22,1.3,correct
4.5,3.27,1.25,correct
4.25,3.44,1.46,correct
3.9,3.38,1.83,correct
7.84,3.59,2.3,correct
10.66,3.24,1.5,correct
10.53,3.18,1.09,correct
3.89,3.12,0.95,correct
1.03,2.98,0.07,correct
1.13,3.03,0.57,correct
0.59,2.96,1.07,correct
0.35,2.93,1.14,correct
0.13,2.94,0.91,correct
7.69,3.3,0.56,correct
