neck_angle,spine_angle,shoulder_tilt,label
10.31,7.93,10.85,correct
6.7,4.25,3.21,correct
1.41,1.76,2.9,correct
5.32,1.33,2.96,correct
3.03,1.38,0.97,correct
3.63,1.76,0.17,correct
1.94,1.25,1.97,correct
2.09,1.36,1.5,correct
2.95,1.4,0.93,correct
2.24,0.99,1.71,correct
1.18,1.19,2.31,correct
0.95,0.96,2.27,correct
1.16,0.63,2.89,correct
0.81,0.72,3.02,correct
0.71,0.92,3.68,correct
0.34,1.27,0.05,correct
0.34,1.16,0.01,correct
0.03,1.2,0.53,correct
0.62,1.2,0.66,correct
2.27,1.25,1.59,correct
7.29,1.22,2.79,correct
8.33,0.95,4.83,correct
8.39,0.79,6.55,correct
4.61,0.66,6.58,correct
0.02,0.69,4.35,correct
0.5,0.53,3.7,correct
0.84,0.56,5.03,correct
1.82,0.42,5.36,correct
2.23,0.86,3.42,correct
2.45,0.91,2.55,correct
2.45,0.92,2.6,correct
2.38,0.54,3.69,correct
2.1,0.57,3.53,correct
2.38,0.75,3.62,correct
2.02,0.77,3.64,correct
1.92,0.62,3.73,correct
2,0.59,3.92,correct
1.81,0.53,3.4,correct
1.8,0.63,3.43,correct
1.13,0.41,5.58,correct
0.88,0.58,4.49,correct
0.05,0.4,4.89,correct
0.08,0.39,4.28,correct
0.19,0.54,3.5,correct
0.32,0.61,2.84,correct
0.08,0.55,2.71,correct
0.08,0.52,2.41,correct
0.08,0.6,2.58,correct
0.91,0.55,2.66,correct
1.17,0.55,3.26,correct
1.35,0.32,3.65,correct
1.19,0.28,3.81,correct
1.33,0.24,4.74,correct
0.97,0.31,6.41,correct
1.03,0.31,6.62,correct
0.87,0.41,7.26,correct
0.73,0.42,7.28,correct
0.37,0.52,7.12,correct
0.29,0.51,6.71,correct
0.63,0.63,5.71,correct
1.04,0.54,5.33,correct
1.17,0.71,3.18,correct
1.34,0.87,0.81,correct
1.29,1.11,0.16,correct
1.6,0.91,0.89,correct
2.85,0.99,1,correct
2.01,1.02,0.25,correct
0.02,1.15,0.26,correct
0.34,1.09,1.11,correct
2.11,1.18,1.36,correct
1.24,0.97,3.63,correct
2.04,0.58,4.1,correct
1.66,0.32,5.94,correct
0.79,0.55,5.55,correct
0.27,0.36,5.76,correct
0.26,0.35,5.34,correct
1.44,0.54,0.8,correct
1.41,0.84,0.18,correct
1.48,0.76,0.09,correct
2,0.79,1.33,correct
2.3,1.04,3.29,correct
2.64,0.98,3.11,correct
2.69,1.13,3.2,correct
2.72,1.18,3.2,correct
2.69,1.03,2.18,correct
2.5,0.99,2.05,correct
2.53,1.04,1.74,correct
2.43,1.25,2.2,correct
1.68,1.25,1.38,correct
1.18,1.38,0.35,correct
0.8,0.7,1.07,correct
0.59,0.06,2.94,correct
0.49,0.3,2.33,correct
0.38,0.31,3.93,correct
0.58,0.55,2.03,correct
0.14,0.59,2.03,correct
0.57,0.39,2.69,correct
3.08,0.26,3.55,correct
2.01,0.19,1.93,correct
5.88,0.28,2.38,correct
5.56,0.31,2.51,correct
1.03,0.41,2.77,correct
0.15,0.44,2.89,correct
0.33,0.46,3.08,correct
0.89,0.5,2.71,correct
1.26,0.54,1.74,correct
1.58,0.58,2.6,correct
1.75,0.49,2.03,correct
1.71,0.51,3.04,correct
1.78,0.44,3.38,correct
2.15,0.43,2.59,correct
2.44,0.41,2.81,correct
2.52,0.45,2.3,correct
2.6,0.51,2.15,correct
2.94,0.55,1.99,correct
2.52,0.48,2.51,correct
2.77,0.49,2.64,correct
2.99,0.57,2.39,correct
3.35,0.73,0.95,correct
3.21,0.8,0.41,correct
3.15,0.75,0.74,correct
2.88,0.65,0.88,correct
2.78,0.79,1.38,correct
2.87,0.75,2,correct
3.18,0.84,1.67,correct
3.73,0.87,1.56,correct
3,0.87,2.05,correct
3.1,0.92,2,correct
3.1,0.86,2.11,correct
3.55,0.9,2.02,correct
4.67,0.96,1.53,correct
4.71,1.11,0.64,correct
6.14,1.13,5.99,correct
8.52,1.18,7.56,correct
2.61,1.31,7.84,correct
1.02,1.38,6.81,correct
2.04,1.03,4.05,correct
5.88,0.97,4.66,correct
5.84,0.96,2.29,correct
3.74,0.77,0.11,correct
3.3,0.07,0.19,correct
3.46,0.48,1.17,correct
6.76,0.55,4.64,correct
5.97,0.13,2.43,correct
3.82,0.08,1.01,correct
2.43,0.3,1,correct
3.53,0.54,0.97,correct
5.95,0.53,1.28,correct
6.61,0.94,1.91,correct
7.44,1,2.36,correct
7.32,0.99,2.09,correct
7.08,0.93,1.23,correct
6.55,0.96,3.05,correct
7.64,1.07,4.13,correct
8.95,0.86,3.78,correct
9.24,0.81,3.15,correct
9.13,0.84,3.07,correct
7.78,0.87,2.86,correct
7.52,0.9,2.43,correct
7.39,0.93,2.35,correct
6.53,0.94,2.28,correct
5.63,0.84,1.77,correct
5.63,0.98,3.34,correct
6.07,1.03,4.58,correct
5.47,1.18,4.43,correct
3.25,1.03,4.25,correct
3.63,0.9,3.51,correct
4.31,0.66,2.31,correct
4.65,0.88,2.76,correct
6.48,0.97,3.37,correct
7.01,0.88,3.32,correct
6.75,0.9,3.51,correct
6.86,0.89,3.35,correct
6.96,0.97,3.6,correct
7.19,1.16,4.15,correct
7.43,1.22,4.24,correct
7.12,1.28,4.53,correct
6.83,1.28,4.58,correct
7.05,1.3,4.59,correct
7.11,1.32,4.35,correct
7.29,1.3,4.41,correct
7.36,1.21,3.66,correct
7.34,1.21,3.99,correct
6.19,0.89,3,correct
6.35,0.6,1.86,correct
6.76,0.58,0.22,correct
6.27,0.61,0.42,correct
5.85,0.67,0.65,correct
5.76,0.78,0.64,correct
7.23,0.77,1.06,correct
7.32,0.79,2.05,correct
7.06,0.77,1.64,correct
6.88,0.73,2.25,correct
7.35,0.62,2.48,correct
6.43,0.04,2.03,correct
5.94,0.11,1.14,correct
5.95,0.37,1.1,correct
5.81,0.35,1.32,correct
4.84,0.4,2.14,correct
3.81,0.48,0.96,correct
4.2,0.51,1.16,correct
5.37,0.54,1.76,correct
6.24,0.42,1.47,correct
7.18,0.41,1.8,correct
7.37,0.63,2.04,correct
6.77,0.62,1.47,correct
6.14,0.59,0.97,correct
7.77,1.02,3.33,correct
7.66,1.11,3.76,correct
9.08,0.61,3.24,correct
9.6,0.23,2.07,correct
9.61,0.24,1.15,correct
8.8,0.24,1.11,correct
7.8,0.29,0.73,correct
6.77,0.44,0.02,correct
8.42,0.49,0.46,correct
9.34,0.62,0.25,correct
12.3,0.73,0.64,correct
11.85,0.69,0.51,correct
10.42,0.66,1.43,correct
